id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1099036,James ,Buebendorf,,-,,,1-Aug-25
1159099,Gafar Opeyemi,Olawale,Apolonia Fier, ¬10k,,,-
1166523,Pourya,Shahrabadi,Gol Gohar Sirjan, ¬75k,,,-
1172527,Kristofer,Leedo,Kuressaare,-,,,31-Dec-25
1171039,Dominik,Bolovintsev,Maqtaaral,-,CG Impresariat ...,12780,31-Dec-25
1178713,Jiahui,Li,Shenzhen 2028,-,,,-
1027778,Claudio,Martey,Pianese, ¬100k,,,30-Jun-25
1221436,Quoc Khanh ,Cao,Binh Duong,-,,,-
1139668,Nikitas,Lourakis,Nea Ionia,-,,,-
831258,Hasamadou,Ouedraogo,CS Sfaxien,-,,,-
1155333,Srdjan,Oparusic,FK Sloven Ruma,-,,,-
1177359,Ofek,Mishan,Maccabi Herzliya,-,,,-
1157134,Danny,Jordan,Worthing,-,,,-
1142391,Hugo ,Hellman,Onsala,-,,,-
1276345,Tygo,Kotte,Willem II,-,,,-
956556,Eren,Güler,Blumenthaler SV U19,-,MD - Style Players,961,30-Jun-25
1063621,Pierre,Mweze,Mechelen U21,-,Trois Akademie,3484,-
1160569,Parfait-Anthony,Ndzana,Reims U19,-,,,-
1129174,Junior,Eccleston,Sutton United,-,,,-
956915,Deniz Can,Demir,,-,,,30-Jun-25
1275900,Selim,Abdelaziz,Ivry US,-,,,-
1165495,Sung,Jun Yoon,Kyoto Sanga, ¬50k,,,-
1180190,Deniss,Kalinovs,Riga FC II,-,,,-
1140415,Mukhammedali ,Almakhan,Turkestan,-,,,31-Dec-25
1159855,Jahyann,Pandore,Metz U19,-,,,30-Jun-25
1170153,Jonathan Noah,Schmitt,Gonsenheim U19,-,,,-
1182325,Yassine,Badaoui,Olympique Marseille U19,-,Agent is known - Player under 18,,-
1161026,Miguel Ángel,Romero,Real Betis U19,-,Agent is known - Player under 18,,-
860119,Aël,Belangote,Toulouse U19,-,Agent is known - Player under 18,,-
1168560,Dimitrios,Mavrelis,Asteras Tripolis U19,-,,,-
788565,Luigi Pio,Cannavacciuolo,Real Normanna,-,,,-
788567,Arturo,Raiola,Napoli U18,-,,,-
1182362,Henrik,Sandvik,Elnesvågen,-,,,-
942255,Joseph,Cleveland,East End Lions,-,,,-
1167241,Ovidio Alberto,Hernández,,-,,,-
1172726,Amos,Mpanzu,Charleroi U18,-,,,-
